trade_date,ts_code,name,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate
2026-05-13,002594.SZ,比亚迪,99.23,99.25,97.81,98.6,99.23,-0.63,-0.634889,456194.0,4481395883.54,1.31
2026-05-14,002594.SZ,比亚迪,99.0,100.0,98.45,98.73,98.6,0.13,0.131846,339180.0,3361151176.22,0.97
2026-05-15,002594.SZ,比亚迪,98.0,98.03,96.26,96.3,98.73,-2.43,-2.461258,466217.0,4507893857.51,1.34
2026-05-18,002594.SZ,比亚迪,95.34,95.94,94.3,94.51,96.3,-1.79,-1.858775,354613.0,3359745462.56,1.02
2026-05-19,002594.SZ,比亚迪,94.51,96.08,93.8,96.0,94.51,1.49,1.576553,296184.0,2822346576.25,0.85
2026-05-20,002594.SZ,比亚迪,95.3,95.49,93.3,93.36,96.0,-2.64,-2.75,415010.0,3900216298.87,1.19
2026-05-21,002594.SZ,比亚迪,93.41,96.2,93.41,93.51,93.36,0.15,0.160668,373950.0,3540792198.97,1.07
2026-05-22,002594.SZ,比亚迪,93.55,94.19,92.61,93.75,93.51,0.24,0.256657,268592.0,2510615943.9,0.77
2026-05-25,002594.SZ,比亚迪,95.0,97.21,95.0,95.96,93.75,2.21,2.357333,405995.0,3900848661.64,1.16
2026-05-26,002594.SZ,比亚迪,95.8,96.92,94.51,96.55,95.96,0.59,0.61484,386524.0,3720039550.6,1.11
2026-05-27,002594.SZ,比亚迪,96.0,97.27,94.66,95.22,96.55,-1.33,-1.377525,362374.0,3467882770.14,1.04
2026-05-28,002594.SZ,比亚迪,95.22,95.99,94.03,95.88,95.22,0.66,0.693132,314590.0,2991315169.93,0.9
2026-05-29,002594.SZ,比亚迪,98.9,99.5,96.13,96.18,95.88,0.3,0.312891,606294.0,5901286621.17,1.74
2026-06-01,002594.SZ,比亚迪,96.18,96.22,93.6,93.65,96.18,-2.53,-2.630485,445981.0,4207350429.92,1.28
2026-06-02,002594.SZ,比亚迪,96.0,96.88,94.31,96.76,93.65,3.11,3.320876,554964.0,5321331038.06,1.59
2026-06-03,002594.SZ,比亚迪,96.0,96.0,94.5,94.82,96.76,-1.94,-2.004961,370434.0,3514157745.47,1.06
2026-06-04,002594.SZ,比亚迪,93.6,94.39,93.1,93.44,94.82,-1.38,-1.455389,318712.0,2982999607.13,0.91
2026-06-05,002594.SZ,比亚迪,93.52,94.0,92.3,93.01,93.44,-0.43,-0.460188,339969.0,3159266076.03,0.98
2026-06-08,002594.SZ,比亚迪,91.0,92.02,90.3,91.19,93.01,-1.82,-1.956779,316844.0,2885879183.01,0.91
2026-06-09,002594.SZ,比亚迪,91.22,91.92,90.03,91.89,91.19,0.7,0.767628,281927.0,2562232961.09,0.81
2026-06-10,002594.SZ,比亚迪,91.0,91.0,90.1,90.31,91.89,-1.58,-1.719447,241287.0,2182297137.41,0.69
2026-06-11,002594.SZ,比亚迪,90.1,90.8,88.88,89.8,90.31,-0.51,-0.564722,315087.0,2821436895.48,0.9
2026-06-12,002594.SZ,比亚迪,89.9,91.78,89.25,91.6,89.8,1.8,2.004454,385352.0,3497028504.68,1.11
2026-06-15,002594.SZ,比亚迪,91.61,91.9,90.4,90.82,91.6,-0.78,-0.851528,312979.0,2847656616.85,0.9
2026-06-16,002594.SZ,比亚迪,90.35,90.5,89.5,89.64,90.82,-1.18,-1.299273,336019.0,3017362612.74,0.96
2026-06-17,002594.SZ,比亚迪,89.0,89.3,87.0,87.47,89.64,-2.17,-2.420794,495267.0,4335318667.7,1.42
2026-06-18,002594.SZ,比亚迪,87.0,89.33,86.08,88.13,87.47,0.66,0.754544,435790.0,3820166909.92,1.25
2026-06-22,002594.SZ,比亚迪,87.0,87.9,84.6,87.59,88.13,-0.54,-0.612731,637242.0,5467321886.39,1.83
2026-06-23,002594.SZ,比亚迪,86.91,88.32,84.75,85.0,87.59,-2.59,-2.956959,466217.0,4016365834.08,1.34
2026-06-24,002594.SZ,比亚迪,84.5,84.7,82.78,83.3,85.0,-1.7,-2.0,455735.0,3803649805.54,1.31
2026-06-25,002594.SZ,比亚迪,82.8,83.81,81.34,82.2,83.3,-1.1,-1.320528,556432.0,4579273325.4,1.6
2026-06-26,002594.SZ,比亚迪,81.51,81.8,78.2,78.2,82.2,-4.0,-4.86618,663208.0,5267490277.75,1.9
2026-06-29,002594.SZ,比亚迪,78.2,80.95,77.6,79.64,78.2,1.44,1.841432,523707.0,4160734872.56,1.5
